Car_ID,Battery_Health,Sensor_Error_Rate,Wiring_Condition_Score,Electronics_Remaining_Years
1,76.11568171454672,2.0,4.683410749951186,7.668240361089853
2,58.16349537561746,5.0,3.4675232801167644,7.364205443524271
3,69.891871955883,1.0,1.9691810669179826,5.438958299249815
4,67.66566642780667,0.0,4.333667797282178,9.367962254174811
5,,3.0,2.4702345038770233,5.234709356952062
6,33.9874700162315,2.0,7.337870141965403,10.0
7,70.01302727312807,3.0,8.45660014611836,10.0
8,65.04341159146593,7.0,6.756835816665555,5.588167736506833
9,89.32477327420023,3.0,1.6773037833015914,6.595859284080299
10,39.64350190602589,0.0,4.055748247203196,9.659960891578784
11,55.670802174834655,5.0,5.757567719808822,6.945375689234125
12,86.25886860688152,1.0,2.9435617986309355,7.100120873495902
13,69.7758520260422,8.0,4.515716538909978,4.337895069920232
14,67.22746654801156,3.0,1.7637251231890192,3.3073323987713232
15,84.98912392221418,5.0,6.436150799576409,8.086196476637843
16,44.36647418572689,3.0,1.1471148362294157,2.7176726613042255
17,48.318352049781346,2.0,4.5016654561059575,4.746869722394322
18,32.142986390344674,2.0,9.19208333222658,10.0
19,43.333916442344325,4.0,2.72480273315104,5.504960259957776
20,45.59473702716124,3.0,2.09550572059992,4.192689152703478
21,28.46332126455015,3.0,4.461260900995028,6.639509269548823
22,28.95387151197318,2.0,7.094371265920306,8.495726125737644
23,48.920784791765506,4.0,3.794171205154449,3.2153153779736168
24,92.95620225779773,3.0,4.840133671537604,9.36064291851951
25,63.90338687280692,4.0,7.679655456932132,10.0
26,36.45608720985485,4.0,2.8211929188455604,5.785056481549989
27,53.04814924091632,2.0,2.6167336300129085,5.084097587079752
28,29.95876992428828,2.0,2.1347074012579816,5.284445876094594
29,54.33338055887699,2.0,5.305148916490353,6.154097911777223
30,42.3051059841993,0.0,6.933874084757425,9.171801243226637
31,60.313689113256274,4.0,6.494585509285064,8.223208193069986
32,61.80261124983194,3.0,6.331760947267853,5.310248992174957
33,43.01482546477369,7.0,4.729114964991431,3.1245554543437057
34,60.81935990241375,1.0,5.189953675826415,7.68092109189346
35,31.43377955840949,1.0,7.117360186591553,6.349470227797905
36,69.49509412228065,3.0,3.231064510055075,7.178241786279881
37,51.716720645660985,5.0,2.4167174187732385,4.931608580221537
38,47.89916738871652,3.0,1.479562613922116,3.0704879596824672
39,85.470782018569,2.0,3.866962113340882,8.954226059434657
40,47.26094966588479,3.0,6.322302512551753,4.647250285373184
41,32.912775662142806,3.0,7.5060529406351275,4.263417499962796
42,45.827579210523474,1.0,6.159457209854446,9.954457335377963
43,,9.0,4.25409829217068,3.89795105866384
44,21.36838317778789,2.0,4.548717124693853,4.059300143032056
45,,1.0,0.809652057483184,7.289676057787137
46,33.17893013438077,2.0,5.902360273410889,7.378768720542578
