Car_ID,Oil_Level,Oil_Quality_Score,Avg_Engine_Temp,Engine_Damage_Score,Overheat_Events,Km_Driven,Engine_Remaining_Years
1,25.837835318057678,8.707455564301043,99.58420746714121,6.389953800475281,4,64948.194169881026,8.292159614613942
2,44.23611500347339,2.131193462727822,106.33996584963394,3.268826357529199,3,117215.10359371103,4.954162475484815
3,97.78037042522861,8.805891821695482,102.08215052203657,1.8890986449216607,1,0.0,15.0
4,13.445407056572277,1.5078106424915814,119.12136864003068,6.315039884578804,6,123553.76520697992,0.2
5,50.53253666961725,5.574146641064864,69.38559311059498,7.359964524844617,3,176379.90528384564,6.907192768712225
6,98.81729695257864,9.17872524024374,109.64269785740201,6.1425693597107625,3,257153.86087932473,6.28326280004041
7,23.823403456797223,2.2791534192704725,88.83440809749922,8.79833464586752,6,257222.62372271542,0.2
8,91.6129422753011,8.994911218989683,134.30723977284322,1.6586445883905776,4,240885.01388703907,8.653782302066956
9,58.03376091225654,9.006854312444478,110.58979686261107,3.161182079627658,5,294717.36918520776,6.302523460797173
10,79.40679950519731,3.086221232435307,67.95180194772874,8.755926384737716,7,168777.33227181702,2.72039373321422
11,33.73527601385718,3.281909303584684,114.79595921301303,9.077850811383783,6,267968.0024262266,0.2
12,42.74359438119225,3.581186106338891,107.63249721708127,3.877971336150061,4,224808.12317924498,2.82999070952118
13,33.11689489559018,5.737938283287675,80.71474312167639,4.929405683891741,0,103060.9095577625,12.11202167145803
14,,5.708608518937615,94.25303081053318,3.9229129810585963,6,43215.14647850944,9.66879738873115
15,9.576634757721,4.917237172391101,94.85272076111812,3.863069838038186,1,0.0,12.831195362794492
16,47.28142606254062,2.0003926950696864,110.0430808703621,1.928659425714958,2,0.0,14.393320612479581
17,58.379919474228515,5.382340172689891,91.82842644187085,4.95313613897987,3,134437.3609501409,10.56035431228737
18,,7.579299451768524,87.4069109834962,4.278405550981951,3,268087.7782521548,4.946327016783743
19,70.97684259518233,1.8774261071758147,82.46201407694852,9.645125397139193,6,262354.8750488292,0.2
20,92.71996779414378,,122.75616374830267,2.732000585451532,4,335226.54566977464,5.098104350245183
21,7.906341416510649,1.5392296016553242,107.41544448236239,0.9782997621565714,3,23533.117549631657,10.591412319807809
22,16.5335166660489,2.4280534389487016,102.24422260200518,7.596609982862301,3,178892.4038917867,3.18625654093507
23,27.031105139168417,1.5764923060903575,89.8885613172614,6.553936739646411,3,43806.95028748081,5.599549850689962
24,66.07521022864128,9.657278086644908,94.5630788074786,8.461577673290074,6,228353.27495857317,1.0128915995893912
25,27.41369207342676,2.4182418886340606,112.69125338295115,0.39900650267402304,5,353782.8964648321,4.1016582692638455
26,96.85224810454116,8.753843097204957,97.21800884406265,6.056685961187609,8,191232.93387926416,4.1872595351979545
27,19.170877641968488,,74.0612329543777,1.2134224566055551,5,288129.7369142106,5.513390356087662
28,9.45516175226193,9.454881363177064,96.7691289710731,0.3105033852612138,8,204100.91135640335,5.642257975446375
29,49.692858928221135,4.020479344585,86.56677830792273,6.746296971552615,2,256806.95970943797,3.9298502276086005
30,69.84486090142782,3.870154492665087,90.3804939840859,7.648331730984385,6,217527.53381405052,1.194499551505401
