Car_ID,Battery_Health,Sensor_Error_Rate,Wiring_Condition_Score,Electronics_Remaining_Years
1,93.52872254393455,2.0,5.439032942997754,7.209497353824836
2,71.37564799390844,,3.2189829213701926,5.430804780593482
3,80.29697837833413,4.0,7.105256491581939,7.816981028793741
4,31.1451654482188,3.0,4.142490023270237,5.611058547285044
5,26.985563839168005,4.0,3.091839191132247,2.993756810815883
6,83.04016464291934,3.0,2.130046147735223,6.600436962880157
7,18.59905655715978,37.0,6.585290759828757,6.9540327355682985
8,63.28542571807741,4.0,1.9490796353694395,4.801847942309375
9,39.218814069440484,1.0,1.2095316189044547,5.68851112704683
10,,4.0,0.5158954681583394,5.058683078818724
11,,3.0,2.9823846969693024,4.591109975926315
12,77.21535098238056,4.0,2.5615244171549656,4.606938720827371
13,86.93439528649559,4.0,5.594185811426082,9.076110899921838
14,67.07849140373463,4.0,6.150555756917731,6.44889474813611
15,,4.0,2.4521839208997664,1.8398972709456074
16,42.481415252317134,4.0,2.415922757940624,3.332963862180238
17,76.44777957259434,4.0,6.955996661338878,7.1114094769757665
18,53.80771441518017,1.0,7.524583795449883,10.0
19,24.58527881977649,5.0,,2.421283693202503
20,79.76218453656972,,4.520952332076318,9.708255355546404
21,56.18504104474375,2.0,3.640513520839229,5.462950079452683
22,34.06197904250595,4.0,4.29260287096737,4.844365116092305
23,23.950159945158962,4.0,0.7418623787079726,5.013784252779829
24,43.39802709559638,3.0,4.090535008673396,5.640789320215147
25,25.343930487316904,1.0,6.832938117177135,7.936580440995497
26,,3.0,3.937840773078344,7.498420943143633
27,25.101721926452498,3.0,0.661196955414961,3.792208019231312
28,54.55266555294172,2.0,9.151914592586692,6.09489427452178
29,49.13379307544133,,1.6755686509233503,6.420621404579237
30,32.157722055404875,4.0,0.35486787363679606,2.24704850174423
31,63.73682717727326,9.0,,0.1
32,55.46344300818669,1.0,7.794582183363595,9.86336552382153
33,22.88490480023288,2.0,3.9298521710480463,6.362608151871578
34,85.83145529836042,3.0,1.926570724617812,6.82963156176158
35,41.86341465039873,3.0,1.5289106230380778,4.838639138130413
36,33.51881754182734,6.0,6.682885019315411,4.895130995932025
37,71.5495803768734,6.0,4.670918974496026,3.604656413659248
38,28.603286304207405,4.0,3.779417054092505,2.1345030035530113
39,48.259607849368216,3.0,8.986435693655869,8.663566214306375
40,50.85629264924851,5.0,0.5823496041591969,4.097868209265926
41,55.64447280127075,5.0,0.767113628599333,2.6156504196268884
42,98.16421291471258,2.0,0.32958106826016076,5.550643506859511
43,78.3515207242708,3.0,2.2672804634074373,6.441931577943753
44,44.978804666492245,4.0,,3.886554311928668
45,91.58041914352427,3.0,4.610043462284481,6.664221085224069
46,82.6618876139646,2.0,4.732518970409406,6.3021142506251735
47,40.960027306763294,,7.324827282286128,8.10851105105947
48,44.75865489239542,3.0,5.141796668121409,7.322800950366373
49,30.356050381797672,3.0,9.515523966814607,10.0
50,53.77370849868743,4.0,3.240603727808653,3.3016153037223264
51,95.1812027973886,8.0,0.5449876507457052,1.6255547141447324
52,49.36342985284398,3.0,5.849316650702868,6.453758711324598
53,54.78199781463076,2.0,4.115630603115534,6.8546788464584125
54,93.36748434874553,4.0,1.8866387652877337,5.518564466702266
55,95.78351368004273,4.0,1.7011440271400036,4.209321968974373
56,40.38183584709672,8.0,9.983730696969346,1.586524971741296
57,,2.0,5.206382474804954,8.274695111360172
58,23.998112387174963,4.0,5.719760256262308,7.614743156770492
59,,2.0,7.141366613276706,8.712550047989927
60,60.520475448536295,4.0,4.61343411492373,6.8017783638589036
61,67.12576776404103,4.0,7.384628627796425,8.83271950868468
62,46.15188869262974,2.0,6.040087093282462,9.509488296535782
63,31.585155857416815,3.0,6.957162135642989,7.928243399770145
64,40.611079229789304,5.0,8.636464430452232,7.103148886797519
65,88.59567107181499,3.0,2.266662704633765,7.722466593462116
66,6.075389332342183,34.0,7.932743255426342,10.0
67,99.89060828649323,5.0,1.4983202971582599,3.626444907272866
68,45.55645324865794,1.0,7.806763752015171,8.650365315123167
69,56.27265812994075,5.0,8.275716645448384,3.8294503191874205
70,89.4097742219916,6.0,9.778378855823187,7.2367024562036635
71,71.08177446702447,3.0,8.03066277242283,5.891617463443943
72,46.55138415863581,2.0,9.177665687642303,10.0
73,63.358210619834665,3.0,6.115927144652963,7.320627309167313
74,28.985904707254644,5.0,1.58626040008376,3.6742129406267807
75,85.3218754900466,2.0,2.62803555924225,7.437069146492768
76,37.67453170782515,,3.748279280954563,4.143036077796277
77,61.19794144872397,,9.024630531568206,7.517336502165239
78,62.087021433981434,5.0,7.661024061645836,7.365041494122324
79,42.1670950778569,2.0,5.5813148562554415,8.768408309310667
80,92.353650532844,,5.524682151767502,2.583213593411246
81,53.634160285294115,1.0,7.662575141117517,8.38691471817114
82,,4.0,4.534385724184195,5.610743626474092
83,82.91769453253238,4.0,5.626071754796978,6.585547586631287
84,58.523751679085045,2.0,9.115729594218605,9.487293636624264
85,20.953724286620492,3.0,2.53669942184814,6.5741110999002625
86,24.777662456739833,3.0,0.4399158083737531,2.47664791851637
87,86.05741986751329,2.0,0.6396982298636888,7.613770464887351
88,52.3709589819148,,7.749492992006587,7.145704481494496
89,24.25224898537352,1.0,9.40431823041979,10.0
90,40.771123856568686,2.0,1.628773286603351,6.220712716942802
91,42.49205288450174,7.0,0.5893792265297315,0.15099545283038562
92,95.46424328499661,2.0,1.2124147281324282,6.05774976396687
93,15.081698468449359,18.0,4.372860498837272,8.809211222522388
94,36.18314155919664,6.0,9.062038216073939,7.450101592044957
95,28.028864698760152,4.0,3.36659356433492,4.532136584682135
96,,2.0,8.54557841236791,8.744007039636513
97,79.63018993190974,,4.2344453823723285,9.112989371102096
98,,15.0,4.008381460544671,8.079953804779548
99,92.73916343112256,9.0,5.622060038328431,0.1
100,95.08622099296362,,7.223565341812006,8.167437558067856
101,14.972502089148879,,6.866408521727624,8.672760214607768
102,91.26653066861378,4.0,0.94854230192989,4.739041648062683
103,44.998262958163664,3.0,7.903548745915313,9.047109648533384
104,81.68428289048828,1.0,,9.43128332815296
105,37.092056810113036,5.0,8.544200622485823,5.132994291960818
106,43.06755170501782,4.0,9.052556283242254,7.9231250908427535
107,41.8754236153827,3.0,7.678779173855839,9.462822875083402
108,17.381257533392496,18.0,8.33136072907741,3.2250488129390913
109,21.157963075824348,6.0,,0.8540864639250113
110,68.72903810834525,7.0,8.120711673540503,5.4452827982344685
111,23.044416517246514,17.0,9.746648085358451,8.939903726672359
112,,5.0,8.086442188470935,7.177929944501957
113,89.34918331422519,5.0,0.3094003195835415,4.571619693575834
114,54.12238833525856,3.0,9.022964920217774,9.315703141299776
115,32.831272065526214,,6.617436321364984,9.789885245889534
116,24.52253052327544,,,6.845113754032934
117,53.82457547297818,4.0,8.449589405338493,8.144420415885849
118,78.87968438346661,3.0,5.008439506934705,6.669027176180954
119,58.15630333023446,4.0,8.54580156806726,7.963632162384303
120,,2.0,4.631174299252958,7.900561828737287
121,94.0944492488185,8.0,5.255082766819879,3.0975164196321865
122,56.21474280539936,7.0,5.225775406657266,4.2100459364589975
123,,,6.922854702662596,7.99222532290147
124,48.73935397431053,3.0,6.72799222671229,7.784134099079444
125,93.65962158357479,,6.6990310200713985,8.836548929390725
126,9.844585067425864,20.0,3.25308731232806,3.7433409373615074
127,38.799239854220986,1.0,4.061259602434229,9.12261500316422
128,26.36354808182647,5.0,8.693196826420538,7.571391966150528
129,65.26306774949329,3.0,7.3381591929928645,8.415204843113878
130,43.59108529059946,3.0,6.53847268608949,8.733099036341075
131,,6.0,,3.1764565001906635
132,27.904161038533076,6.0,7.4399553187181695,4.236895487961932
133,22.145570935979926,3.0,9.53290976523977,8.681958990935176
134,22.067865028030617,19.0,4.232293533963695,4.5357766893713904
135,83.31746989840674,4.0,9.489738992113601,8.017197555340962
136,50.26150633070599,1.0,5.378867866099446,7.9916257933922035
137,,5.0,0.015564384309977308,0.5612242408958541
138,12.43731705999952,20.0,8.29061176273365,7.002540778586663
139,59.873097495368704,2.0,8.312796020410675,7.067337365083983
140,44.33498872482572,3.0,5.381984723820117,6.012102213857425
141,77.49113686774292,2.0,4.128031757414352,7.463798331359339
142,68.85286603016515,4.0,,10.0
143,25.173832577188698,3.0,4.898763406239236,4.1894920926291395
144,31.841148190949937,2.0,4.255861059095361,5.638381638519213
145,97.6194729031919,2.0,7.935736415682699,10.0
146,57.721776303666275,4.0,6.624172312411418,7.3345075068815335
147,78.65378018301186,1.0,4.939902862536746,8.7102981205514
148,36.85579151975907,5.0,4.169741841869632,4.0189180635239135
149,71.41428913553312,4.0,6.953649071846125,8.395120860001198
150,92.92737338851413,,0.4209325422155896,4.502003823128527
151,22.762302509340095,4.0,5.06057952180746,6.018419735129073
152,34.188537988053376,4.0,0.8379289868889617,4.649130696728843
153,43.70011947576205,2.0,6.044973166705424,7.113480464037384
154,45.01066780057269,3.0,2.3029239723009907,5.000257879351354
155,45.99399553817867,5.0,,4.19220550586682
156,66.24619304717717,0.0,,5.170577679040987
157,99.86559645447403,3.0,7.176936122824941,9.306739400529269
158,48.38264896733959,7.0,4.883175443866409,3.254674515635764
159,21.66390797277039,4.0,8.615082622584666,6.793437340909369
160,27.96998648116462,6.0,0.33054236061474174,3.592774351351205
161,14.345674345117633,37.0,4.946166006773723,3.924258839064036
